Pipeline_id;Lab;Level;Pipeline_status;Assessment;Number_of_ODT_Win;Number_of_ODT_Linux;Num_build_impact_Win;Num_build_impact_Linux;Num_server_impact;Server_impact;SSR_Eligible;Date
b48d7874-2462-40b0-be85-2a2f1fea4de2;Marrakech;v1;Aborted;GOIF;731;1271;7;75;1;True;Full reinstall;2021-01-25
cd3c8c58-cdae-49d5-9b4b-80b0d844d4d9;Los Angeles;v1;Aborted;GOIF;722;224;35;55;17;True;SSR Eligible;2021-09-01
d8ff479e-8525-4d11-83be-fe8cdbccdbbe;Los Angeles;v1;Warning;GOIF;918;6;49;17;4;True;SSR Eligible;2021-05-14
037ad97d-209d-4040-a3dc-caa4722e0125;New Delhi;v4;Aborted;GOIF;2184;2030;184;10;8;True;SSR Eligible;2021-09-21
ac7973eb-4469-4b05-85e7-0dd4a9372657;New Delhi;v4;Aborted;NOGO;2762;1680;179;32;6;True;Full reinstall;2021-12-13
e783ba43-4da0-4167-aa5e-59a01d476a33;Marrakech;v4;Aborted;GO;557;941;199;135;17;True;SSR Eligible;2021-02-14
678ec070-9ac6-44a3-b3e5-dd147a369666;New Delhi;v4;Warning;GOIF;1543;1972;145;127;10;True;Full reinstall;2021-09-04
40aefa60-fbcf-41ca-9841-d02999af575f;Marrakech;v2;Aborted;GOIF;1037;1631;98;62;1;True;Full reinstall;2021-10-12
3fe53339-3d67-4df4-845b-fcd06884a31a;London;v3;Success;GO;617;1002;33;4;11;True;SSR Eligible;2021-06-17
a2bb2e9b-c141-4f5f-a304-7158a253572c;Paris;v3;Aborted;GO;1599;1656;173;106;8;True;SSR Eligible;2021-01-27
b7e8d69a-f381-452d-8cef-c24705e728d6;London;v1;Aborted;NOGO;717;2058;1;42;14;True;Full reinstall;2021-06-04
b688793c-72c4-4366-ad04-d104e2159c0e;New Delhi;v3;Warning;NOGO;2664;1953;177;20;9;True;SSR Eligible;2021-05-24
94fb025e-dfdc-442c-9c58-7c00186868c6;Los Angeles;v2;Warning;GO;1238;328;84;142;9;True;Full reinstall;2021-10-04
df2c93bb-5361-4a41-ae85-ce8cd1da6bc8;Paris;v4;Aborted;GOIF;825;1953;157;139;18;True;SSR Eligible;2021-03-11
069d1cde-ef14-467e-bf8a-e47a1a4300f2;Los Angeles;v4;Warning;GO;784;505;33;49;0;False;No server impact;2021-09-10
a44d5987-f398-494f-b999-489db48c5405;Paris;v4;Aborted;GO;2287;1136;162;68;3;True;Full reinstall;2021-02-11
466172b0-d584-40cc-bbe0-41657aba0d87;London;v4;Warning;GOIF;534;554;198;117;18;True;SSR Eligible;2021-03-03
8408fed8-babf-43d1-be07-c2f2a5001578;New Delhi;v3;Aborted;GO;738;1340;119;28;6;True;Full reinstall;2021-01-15
0561344e-d3bf-49cc-a6e4-96a2375f42ad;Marrakech;v2;Aborted;GO;882;1231;169;48;5;True;Full reinstall;2021-04-30
bd9c5fd6-b1a8-4dd1-876d-bb0d427f0098;London;v4;Warning;GO;2999;15;47;53;7;True;Full reinstall;2021-12-14
a1a643ee-ee7f-43c2-a2ee-9e17d12dfea5;Marrakech;v1;Aborted;GO;1332;1068;54;71;14;True;Full reinstall;2021-02-08
381e6889-94df-4711-a130-b18d940a45ed;Los Angeles;v2;Success;GO;2285;406;75;57;19;True;SSR Eligible;2021-07-23
3ba85d4d-22eb-468e-b417-bee9375ac544;London;v3;Aborted;NOGO;470;846;42;123;4;True;SSR Eligible;2021-08-03
4c26bfe2-d462-43c0-833b-414b5311ec27;London;v1;Success;NOGO;747;860;109;90;4;True;SSR Eligible;2021-05-27
af707689-6258-4d9b-8a46-a3ccd03e79e9;London;v3;Success;GO;139;915;172;61;7;True;Full reinstall;2021-09-09
926da297-d8ae-4a63-81e1-7631ef086ac6;Marrakech;v2;Aborted;NOGO;1372;1925;151;4;4;True;SSR Eligible;2021-08-16
18711e91-70a5-4ae8-bfae-a853b5d61f8f;London;v4;Aborted;GOIF;503;1717;43;13;6;True;Full reinstall;2021-12-06
671522ad-0edd-4c30-b86c-ead531977c1f;Marrakech;v4;Success;GO;2137;2076;19;136;8;True;SSR Eligible;2021-06-23
9c16eba8-d4ea-4a82-b80c-07eb0c5ae9c5;Marrakech;v1;Warning;GOIF;355;1429;158;106;14;True;SSR Eligible;2021-09-25
b2dca0fc-753a-43a9-91db-c96374008b35;London;v1;Warning;GO;2815;2041;86;45;16;True;SSR Eligible;2021-05-08
edf8728f-de28-493c-94d2-65338cdf9e9b;London;v4;Success;NOGO;2850;1175;49;94;6;True;SSR Eligible;2021-04-10
124b7ea0-d36f-47b4-b0c2-23a621227b9e;Paris;v2;Success;NOGO;2023;1714;154;88;0;False;No server impact;2021-07-10
67bf48c6-0d8f-4b10-ac46-9ddd12e5fd9c;Marrakech;v1;Success;GOIF;1217;1692;120;72;16;True;Full reinstall;2021-06-05
55adce74-e651-4fd9-ae46-49f887c513cd;London;v1;Warning;GO;52;161;63;1;18;True;SSR Eligible;2021-06-02
13ef104f-a8b3-486f-9212-516e90a78198;New Delhi;v4;Warning;GO;901;579;179;24;17;True;SSR Eligible;2021-07-31
57ed190b-40fa-44f8-9955-28ae16d8e157;Paris;v2;Success;GOIF;2373;1010;68;25;13;True;Full reinstall;2021-02-03
f89ca167-67d8-4327-9f17-9d0924fd2b60;Los Angeles;v3;Aborted;GO;1884;1802;188;61;4;True;SSR Eligible;2021-04-22
38f4e4ee-d94b-45c9-8daf-8de4ba55c103;Los Angeles;v1;Warning;GO;2957;1358;6;147;18;True;Full reinstall;2021-01-28
dd394d0d-7d04-456c-8b8f-3ccd70b22b3a;London;v4;Warning;GO;2343;920;89;105;0;False;No server impact;2021-10-30
cb94c2b1-fb8c-405d-9222-4540d6ebaaef;Paris;v1;Success;GO;776;1490;34;50;3;True;SSR Eligible;2021-06-03
0613bb41-de73-4ebc-99f6-6766804be4c0;London;v2;Success;GO;2417;1350;127;116;7;True;SSR Eligible;2021-03-14
066a54b7-bbdb-4473-afd5-645706684c50;Marrakech;v3;Aborted;GOIF;55;1279;8;45;1;True;Full reinstall;2021-01-23
75e10a12-f462-453a-b207-564fd3a41c26;Marrakech;v1;Aborted;GOIF;1223;962;154;21;0;False;No server impact;2021-11-16
237b8a7b-f939-4785-9690-f22177f026b6;Paris;v4;Warning;GO;2149;1623;172;147;3;True;Full reinstall;2021-07-10
cb4cce9b-e6b6-481d-ac0c-8a5b1c8849b7;Los Angeles;v3;Aborted;NOGO;531;1667;184;126;12;True;SSR Eligible;2021-09-25
48a919c2-26b6-404c-8b40-d0bf03316419;New Delhi;v1;Warning;GO;1030;1044;145;85;3;True;Full reinstall;2021-02-23
2e5525ec-98a7-4ce7-b4b5-edebc02ecf83;Los Angeles;v2;Aborted;GO;734;1818;38;5;10;True;Full reinstall;2021-01-17
c1e11898-481e-450d-9069-d262395861ec;Marrakech;v3;Success;GO;2454;634;138;138;8;True;Full reinstall;2021-06-21
1c4c0283-79d6-4f87-8ae2-998d138f40dc;New Delhi;v2;Aborted;GOIF;2342;42;92;77;6;True;Full reinstall;2021-12-14
74e583f7-36d1-477a-a996-8b9d83f3a855;Paris;v3;Warning;GO;523;1688;112;55;19;True;Full reinstall;2021-08-08
708aeb93-3d80-4b3a-bb8c-4cf9bfc815cf;Marrakech;v2;Warning;GOIF;667;713;100;50;10;True;Full reinstall;2021-07-20
193a34c9-eb6c-4164-b20e-a6776498241d;Paris;v2;Aborted;NOGO;1444;751;176;134;18;True;Full reinstall;2021-02-10
f76c149b-c4a3-4026-b00c-95db0f0517e0;New Delhi;v3;Warning;GO;2441;565;32;42;4;True;Full reinstall;2021-03-18
a6a0be94-c274-4ffe-a744-cbb71b9f3009;Paris;v1;Warning;NOGO;2977;2008;76;75;17;True;Full reinstall;2021-04-14
d3e581d7-80d2-40e1-a0d4-3692e3aa8df7;New Delhi;v2;Success;NOGO;2331;2078;164;108;7;True;SSR Eligible;2021-11-02
b6afee81-0692-4a41-98ea-5d059974ff63;Marrakech;v4;Success;NOGO;699;1868;162;129;3;True;SSR Eligible;2021-12-15
8f2a023c-1c89-4515-a876-56c07ff66d32;Marrakech;v2;Aborted;GOIF;1080;2079;63;132;2;True;SSR Eligible;2021-07-12
b68d7e65-7d2f-4b25-957a-40206e160add;London;v2;Warning;GO;818;407;23;17;0;False;No server impact;2021-06-10
21a6e46e-2c27-480e-b7b6-3d542bee39d7;New Delhi;v1;Success;NOGO;1966;675;191;146;17;True;SSR Eligible;2021-12-04
